cond,block_nr,trial_nr,set-size,target,target_color,selected_color,rt
continuous,0,0,8,"(200, 200)","(85.4, -87.2, 78.4)","[70, 0, 186]",7.536102832999859
continuous,0,1,8,"(-200, 200)","(2.1, -4.4, -3.8)","[0, 255, 0]",3.463994875000026
continuous,0,2,8,"(200, -200)","(91.1, -41.6, -31.6)","[131, 125, 0]",3.896184917000028
