cond,block_nr,trial_nr,set-size,target,target_color,selected_color,rt
continuous,0,0,8,"(-400, 0)","[213, 0, 43]","[0, 137, 119]",2.390675583999837
continuous,0,1,8,"(0, -400)","[204, 52, 0]","[0, 76, 180]",1.1933652500010794
continuous,0,2,8,"(0, 400)","[0, 22, 234]","[189, 67, 0]",1.4972482079992915
continuous,0,3,8,"(0, 400)","[101, 155, 0]","[189, 67, 0]",0.8044165419996716
continuous,0,4,8,"(0, -400)","[0, 34, 222]","[189, 67, 0]",1.168425957999716
continuous,0,5,8,"(200, -200)","[13, 243, 0]","[189, 67, 0]",1.555571165999936
continuous,0,6,8,"(0, 400)","[0, 146, 110]","[189, 67, 0]",0.7779227089995402
continuous,0,7,8,"(-400, 0)","[7, 249, 0]","[189, 67, 0]",0.6645518749992334
