cond,block_nr,trial_nr,set-size,target,target_color,selected_color,rt
continuous,0,0,8,"(0, -400)","[52, 204, 0]","[180, 76, 0]",12.279311799444258
continuous,0,1,8,"(-200, 200)","[0, 180, 76]","[0, 231, 25]",10.769431800581515
continuous,0,2,8,"(-400, 0)","[0, 10, 246]","[0, 31, 225]",13.035588099621236
continuous,0,3,8,"(-400, 0)","[95, 161, 0]","[0, 189, 67]",6.676757299341261
continuous,0,4,8,"(0, -400)","[174, 82, 0]","[40, 0, 216]",6.0614935997873545
continuous,0,5,8,"(-200, -200)","[70, 186, 0]","[0, 207, 49]",17.843644599430263
continuous,0,6,8,"(-200, 200)","[243, 13, 0]","[246, 10, 0]",3.7856638999655843
continuous,0,7,8,"(400, 0)","[0, 180, 76]","[49, 207, 0]",28.377539299428463
continuous,1,0,8,"(-200, -200)","[25, 231, 0]","[0, 7, 249]",4.268098500557244
