cond,block_nr,trial_nr,set-size,target,target_color,selected_color,rt
continuous,0,0,8,"(200, 200)","[210, 46, 0]","[216, 40, 0]",3.7375643749983283
continuous,0,1,8,"(-200, 200)","[10, 0, 246]","[0, 167, 89]",1.9695169160004298
continuous,0,2,8,"(400, 0)","[0, 189, 67]","[70, 186, 0]",2.1728835000012623
continuous,0,3,8,"(0, -400)","[25, 231, 0]","[25, 231, 0]",4.158424499999455
continuous,0,4,8,"(200, -200)","[149, 107, 0]","[107, 0, 149]",2.1084037499986152
continuous,0,5,8,"(200, -200)","[67, 0, 189]","[43, 0, 213]",1.983459999999468
continuous,0,6,8,"(-200, -200)","[55, 0, 201]","[37, 0, 219]",1.3193934999999328
continuous,0,7,8,"(0, -400)","[82, 174, 0]","[61, 195, 0]",2.247082332998616
