cond,block_nr,trial_nr,set-size,target,old_color,new_color,change_detected
set-size,0,0,6,,,,True
set-size,0,1,2,,,,False
set-size,0,2,8,[   0. -400.],green,"(91.1, -41.6, -31.6)",False
set-size,0,3,2,,,,False
set-size,0,4,6,[400.   0.],"(97.2, -16.1, 91.4)","(66.6, 97, -68.8)",True
set-size,0,5,4,[   0. -400.],green,"(2.1, -4.4, -3.8)",True
set-size,0,6,4,,,,False
set-size,0,7,8,[-200.  200.],"(85.4, -87.2, 78.4)","(97.2, -16.1, 91.4)",True
